N_DEATH_ILL,TTL_MDCR_SPND,MDCR_SPND_INP,MDCR_SPND_OUTP,MDCR_SPND_LTC,MDCR_SPND_HOME,MDCR_SPND_HSPC,MDCR_SPND_AMBLNC,MDCR_SPND_EQP,MDCR_SPND_OTHER,TTL_PARTB,PARTB_EVAL_MGMT,PARTB_PROCS,PARTB_IMAG,PARTB_TESTS,PARTB_OTHER,HOSP_REIMB_P_DCD,HOSP_DAYS_P_DCD,REIMB_P_PTNT_DAY,HOSP_REIMB_RATIO,HOSP_DAY_RATIO,REIMB_P_DAY_RATIO,MD_PYMT_P_DCD,MD_VISIT_P_DCD,PYMT_P_MD_VISIT,MD_VISIT_PYMT_RATIO,MD_VISIT_RATIO,PYMT_P_VISIT_RATIO,HOSP_BEDS,TTL_IC_BEDS,HI_IC_BEDS,INT_IC_BEDS,MED_SURG_BEDS,SNF_BEDS,TOTAL_FTE,MS_FTE,PC_FTE,MS_PC_RATIO,RNS_REQ,HOSP_DAYS_P_DCD2,TTL_IC_DAYS_P_DCD,HI_IC_DAYS_P_DCD,INT_IC_DAYS_P_DCD,MED_SURG_DAYS_P_DCD,SNF_DAYS_P_DCD,TTL_MD_VISIT_P_DCD,MS_VISIT_P_DCD,PC_VISIT_P_DCD,MS_PC_RATIO_P_DCD,HHA_VISIT_P_DCD,PCT_DTHS_HOSP,PCT_DTHS_W_ICU,PCT_DTHS_HSPC,HSPC_DAYS_P_DCD,PCT_PTNT_10_MD,N_MD_P_DCD,TTL_COPAY_P_DCD,MD_COPAY_P_DCD,EQP_COPAY_P_DCD,QUAL_SCORE,AMI_SCORE,CHF_SCORE,PNEUM_SCORE
-0.08468258,-0.49502358,-0.59984654,-0.7323157,-0.04505918,0.7385519,-0.42270046,-0.46825546,0.6182221,-0.39902228,-0.55818397,-0.5472081,-0.34903008,-0.36567003,-0.026929818,-0.59236604,-0.62120044,0.35026056,-1.3761365,-0.60813904,0.32099834,-1.3546388,-0.43992892,-0.21030511,-0.8384924,-0.43292254,-0.19861573,-0.7897422,0.3396088,0.033311002,-0.8201825,0.5331115,0.39371714,0.5928139,-0.31155992,-0.39448825,0.07129147,-0.56085235,0.1836219,0.34915274,-0.046089806,-0.676517,0.42187083,0.43484813,0.7172393,-0.12481006,-0.3396104,0.5574557,-0.6856565,1.3230293,0.020307222,-0.3359939,0.22582006,-0.18024647,-1.3596572,-1.1912137,-0.54377735,-0.6665226,0.5049668,-2.4056532,-3.3289604,-2.554476,-0.3985841
-0.065096796,0.118550785,0.102799565,-0.7483154,0.89985704,-0.44404924,-0.13453005,0.812053,-0.8710218,-0.38908717,-0.1545675,0.503003,-0.6171022,-0.46102938,-0.2069981,-0.79866207,0.03817186,-0.07113396,0.11074105,0.026602801,-0.06736246,0.12512054,0.467927,0.32117432,0.73006225,0.46075118,0.33625233,0.7697621,-0.085646264,-0.2062274,0.58897364,-0.6203067,0.01875144,1.1492206,0.5880302,0.81879616,0.13208751,1.0266678,-0.025643144,-0.1272469,-0.12383448,0.7163421,-0.68698466,-0.13235176,1.0854541,0.36766183,0.4537689,0.03603174,0.655483,-0.33408788,-1.0095451,-0.10778565,0.99198174,-0.22407657,0.90251744,0.87611014,-0.25634924,-0.13896726,-0.7558317,0.5081092,1.0656757,1.0706316,-0.6059191
-0.07428379,1.7935923,1.9954563,0.36766416,1.5104994,-0.015885802,-0.34438238,1.1542553,-0.18367848,-0.091034085,0.7377391,1.0789559,0.68496233,0.40628666,-0.55147654,0.19574924,2.1478205,0.300685,2.6612244,2.1424096,0.32099834,2.6530423,1.1088811,0.48134628,2.1243331,1.1041967,0.4699692,2.1213326,0.30341673,0.36497957,-0.014950428,0.46102282,0.16212054,0.30972952,0.7229688,0.67173153,0.98322856,0.16854888,0.3032021,0.34915274,0.34263393,-0.057468526,0.5327564,0.22859341,0.2438199,0.3796734,0.43652162,0.33398846,0.43715817,-0.7924395,0.6271846,0.8557605,-0.6826287,-0.9034436,0.57624227,0.519675,0.44644755,0.5172147,-0.24296452,-0.08052961,0.3701225,-0.28332472,-0.4174325
0.030958101,-0.36591193,-0.18700263,-0.15032636,-0.6504373,-0.53449017,-0.020065138,0.28399953,-0.56955546,-0.18045,0.32880554,0.36424208,-0.33808836,0.46077773,0.29406145,0.45361927,-0.24583028,0.74686754,-1.2296194,-0.227294,0.7579045,-1.2313253,0.3471393,0.28477162,0.38149458,0.3535104,0.29168004,0.45786148,0.73771966,-0.74058217,-0.09547375,-0.9086611,1.3421592,0.21211427,0.160725,0.23053694,0.010496011,0.29726684,0.49253705,0.70645237,-0.6680478,-0.057468526,-0.9087557,1.3629926,-0.019190734,0.25955832,0.28129512,0.14776555,0.34359,-0.19305675,0.11225831,-0.5388458,-0.10253495,-0.33365193,1.0982825,1.161258,0.13798812,0.25996155,-0.6489844,0.12549531,0.59143424,-0.108620144,-0.24779423
-0.098603986,-0.48820347,0.023145363,-1.1033089,-1.6364139,-0.31010506,0.3233296,-0.46235543,0.22933047,-0.5083084,-1.2252387,-0.46832344,-0.89064515,-1.1966587,-0.46535692,-2.244346,0.046547256,0.27589697,-0.3342369,0.026602801,0.27245328,-0.36813244,-0.39609468,-0.079255424,-1.0127763,-0.3971756,-0.06489858,-0.9976759,0.27627286,-0.64845204,0.54871184,-1.172986,0.7245691,-1.8670907,-0.221601,0.04670616,-0.6582581,0.64051414,0.203552,0.23005272,-0.43481356,0.7163421,-1.1305268,0.6411024,-1.6498563,-0.14883317,-0.029157553,-0.26192498,0.18764366,0.1242636,0.7926962,0.34863085,0.47755882,1.2880633,-0.26119748,-0.33576918,-0.9293516,-1.097142,0.6224988,-1.7581493,-1.9694695,-0.3488377,-1.5672007
-0.049724065,-0.7383132,-0.75451815,-0.9013126,-0.88363945,-0.07999583,0.9207561,-0.37385485,0.41322497,-0.0016181533,-1.0497743,-0.8770029,-0.8824389,-0.9196625,-0.6845705,-1.0275217,-0.69296235,-1.0378634,0.34950972,-0.6927715,-1.0382646,0.37174684,-0.8967792,-1.2295809,0.38149458,-0.89763296,-1.2237793,0.35389462,-1.0447322,-0.64845204,-1.0214905,-0.23583397,-0.8855771,-1.8963754,-1.1211911,-1.1298121,-0.53666663,-1.2473474,-1.0719692,-1.0006467,-0.6680478,-0.9860413,-0.24344249,-0.8542423,-2.0180714,-1.1577998,-1.098495,-0.9695718,-1.0911173,-0.2635723,-0.6785209,-0.5134895,0.38999757,0.8059316,-0.7723618,-0.83477855,-0.95213556,-1.0673156,0.3126416,-0.75746286,-0.29381517,-0.5235423,-1.039439
-0.09067104,0.86182475,0.3053299,-0.49332008,1.4983917,2.4901295,-0.5562429,2.2782128,2.2551847,-0.091034085,-0.038557965,-0.15088408,-0.5350393,-0.11137841,-0.41838259,0.5680491,0.3290266,1.1434745,-0.8714664,0.3228157,1.146265,-0.8613854,-0.17400117,0.37213817,-1.1870601,-0.18269385,0.38082463,-1.2056097,1.1448786,-0.6668781,0.105834454,-0.9326907,1.7943238,-0.48095393,-0.019193297,-0.21065728,0.010496011,-0.2605107,0.8612425,0.9446524,-0.5125582,0.4068178,-1.0196413,1.5692474,-0.65041614,0.45174226,0.17781095,0.63194484,-0.061870646,2.9801462,1.0317695,-0.2852812,-0.45278016,0.10464946,-0.00017715391,-0.05062134,0.53232545,0.15556896,2.3534255,-0.02166438,-0.29381517,0.022407465,0.20457253
-0.020148119,0.38453493,0.43764532,0.010670703,0.69508135,-0.33185667,-0.39659443,0.16599874,-0.6238194,1.2998804,0.59901106,0.7985828,0.38680053,0.73777395,0.6933433,0.0087934565,0.34292215,0.64771587,-0.34509003,0.3228157,0.6608144,-0.36813244,0.7757408,1.0929118,-0.14135697,0.7824739,1.0939819,-0.06197348,0.638192,0.25442332,-0.33704332,0.50908196,0.636342,1.0125595,0.8354176,0.85556245,0.37527052,0.81213826,0.5224324,0.5476526,0.26488927,-0.2122307,0.5327564,0.53797525,1.0328518,1.004272,1.0229325,0.37123284,1.154512,-0.22831453,-0.16359496,0.19649233,-0.13537037,-0.5308874,1.6638262,1.7315543,0.39562187,0.5377204,-0.67035383,0.09606159,-0.26219955,-0.021267848,0.48730248
-0.09107966,-0.33204657,-0.4062587,-0.13232668,0.39133945,0.107754976,-0.9769516,0.5672014,-0.56051147,-1.0746093,-0.28942856,-0.16418992,-0.6444565,-0.7198619,-0.8802968,0.12967004,-0.4276145,-0.07113396,-0.6272712,-0.4388747,-0.06736246,-0.61475915,-0.18471621,0.015391552,-0.48992467,-0.18269385,0.024246009,-0.47784096,-0.07659842,-0.44576564,-0.13573532,-0.5001589,0.17314918,-0.041685257,-0.06417255,-0.39448825,0.31447506,-0.68957007,-0.14522333,-0.08754715,-0.43481356,-0.057468526,-0.5760991,0.17703009,-0.019190734,-0.07676407,-0.3396104,0.37123284,-0.5920887,0.3710684,0.46167237,0.6782654,-1.0766548,-0.8376985,-0.087184,-0.19319525,-0.36325845,-0.29555613,-0.52076757,-0.84575963,-1.1474514,-1.4844142,0.22342235
-0.08010317,-0.18647258,-0.38522732,0.06366973,-0.5340994,0.08943782,1.5804354,-1.2765608,1.1457883,0.93228155,-0.35903427,-0.6698119,0.23361646,0.3699593,0.16096751,-0.36189473,-0.35547188,-0.54210496,0.14872697,-0.35424227,-0.5528137,0.12512054,-0.6298773,-0.49424633,-0.8384924,-0.6116574,-0.5106221,-0.7897422,-0.5470934,-0.6300259,0.5084505,-1.124927,-0.30107185,-1.7792372,-0.6264164,-0.46802056,-1.0230329,0.16854888,-0.47406858,-0.72274655,-0.6680478,0.2520558,-1.1305268,-0.49329692,-1.8602649,-0.50917846,-0.28786823,-0.8578384,0.21883292,0.54735744,-2.0577872,-1.7052441,2.721318,1.8797699,-1.0551337,-1.0486394,-0.21603918,-0.41299778,1.0498881,-0.49257722,0.6546679,-1.178682,-1.0017407
-0.0963636,0.007430094,0.6471309,1.0116524,-1.545344,-0.30552578,-1.6788023,0.88875353,-0.6599954,-0.63746476,-0.48616138,-0.7696057,0.173437,-0.3157199,-1.1151685,-0.07823768,0.86219686,-0.21986163,1.6573107,0.87292534,-0.21299794,1.6665365,-0.81885165,-1.4916805,1.7757654,-0.8261391,-1.4912133,1.7054652,-0.23041412,-0.11409726,-0.45782822,0.14863883,-0.21284474,-2.2575517,-1.2561295,-1.1665782,-0.9622371,-1.0328176,-0.25483868,-0.44484678,-0.27932402,-0.676517,0.08921423,-0.3901698,-2.5440927,-1.3019378,-1.1157424,-1.1930395,-0.99754953,-0.3693458,0.16742918,-0.38670707,-2.3244038,-1.9115368,-1.1856438,-1.5476488,-0.13016127,-0.042031284,-0.55282176,0.09606159,0.30689126,1.3326869,-0.88864905
