NAME,N_DEATH_ILL,TTL_MDCR_SPND,MDCR_SPND_INP,MDCR_SPND_OUTP,MDCR_SPND_LTC,MDCR_SPND_HOME,MDCR_SPND_HSPC,MDCR_SPND_AMBLNC,MDCR_SPND_EQP,MDCR_SPND_OTHER,TTL_PARTB,PARTB_EVAL_MGMT,PARTB_PROCS,PARTB_IMAG,PARTB_TESTS,PARTB_OTHER,HOSP_REIMB_P_DCD,HOSP_DAYS_P_DCD,REIMB_P_PTNT_DAY,HOSP_REIMB_RATIO,HOSP_DAY_RATIO,REIMB_P_DAY_RATIO,MD_PYMT_P_DCD,MD_VISIT_P_DCD,PYMT_P_MD_VISIT,MD_VISIT_PYMT_RATIO,MD_VISIT_RATIO,PYMT_P_VISIT_RATIO,HOSP_BEDS,TTL_IC_BEDS,HI_IC_BEDS,INT_IC_BEDS,MED_SURG_BEDS,SNF_BEDS,TOTAL_FTE,MS_FTE,PC_FTE,MS_PC_RATIO,RNS_REQ,HOSP_DAYS_P_DCD2,TTL_IC_DAYS_P_DCD,HI_IC_DAYS_P_DCD,INT_IC_DAYS_P_DCD,MED_SURG_DAYS_P_DCD,SNF_DAYS_P_DCD,TTL_MD_VISIT_P_DCD,MS_VISIT_P_DCD,PC_VISIT_P_DCD,MS_PC_RATIO_P_DCD,HHA_VISIT_P_DCD,PCT_DTHS_HOSP,PCT_DTHS_W_ICU,PCT_DTHS_HSPC,HSPC_DAYS_P_DCD,PCT_PTNT_10_MD,N_MD_P_DCD,TTL_COPAY_P_DCD,MD_COPAY_P_DCD,EQP_COPAY_P_DCD,QUAL_SCORE,AMI_SCORE,CHF_SCORE,PNEUM_SCORE
Abilene TX,2120.0,,,6410.0,6331.0,2792.0,1909.0,546.0,1510.0,200.0,,2717.0,,665.0,444.0,1798.0,17502.0,19.9,881.0,,1.01,0.78,2891.0,54.4,53.0,0.79,0.89,0.89,54.4,13.2,5.8,7.4,41.2,56.4,19.0,6.7,8.7,0.77,47.0,11.8,3.1,1.6,1.5,8.6,10.8,27.0,10.8,,0.73,10.0,30.9,16.1,,11.9,14.7,5.6,2308.0,1911.0,,79.2,81.8,,78.0
Akron OH,3510.0,44895.0,24222.0,6394.0,8126.0,1759.0,2196.0,980.0,1016.0,201.0,8161.0,3822.0,1604.0,644.0,421.0,1670.0,20966.0,18.2,1155.0,0.94,0.93,1.02,3823.0,61.7,62.0,1.04,1.01,,49.7,11.9,9.3,2.6,37.8,62.1,23.0,10.0,8.8,1.14,44.9,10.6,3.0,2.5,0.5,,11.5,31.1,,13.3,,5.3,25.3,17.0,,11.7,,8.5,2472.0,2194.0,279.0,89.1,95.7,90.8,76.9
Alameda County CA,2858.0,59140.0,35651.0,7510.0,9286.0,2133.0,1987.0,1096.0,1244.0,231.0,10007.0,4428.0,2080.0,835.0,377.0,2287.0,32049.0,,1625.0,1.44,1.01,,4481.0,,70.0,1.22,1.04,1.17,54.0,15.0,,7.1,39.1,53.5,23.6,9.6,10.2,0.94,48.2,11.8,3.6,2.0,1.6,8.2,9.9,31.2,15.3,14.1,1.09,4.0,34.2,20.8,25.0,8.6,32.5,8.0,2873.0,2546.0,327.0,87.1,93.5,84.6,77.9
Albany NY,,40775.0,22472.0,,5181.0,1680.0,2310.0,801.0,1116.0,222.0,9161.0,3676.0,1706.0,847.0,,2447.0,19474.0,21.5,908.0,,1.1,,3699.0,61.2,60.0,1.01,1.0,1.01,58.8,,,1.4,49.8,52.5,21.1,8.4,8.6,0.97,50.1,12.7,2.3,,0.3,10.4,9.4,30.2,14.4,13.6,1.06,5.7,31.4,15.3,30.3,11.2,37.3,,2697.0,2408.0,289.0,87.8,94.2,85.4,78.8
Albany GA,,39735.0,23741.0,6039.0,3308.0,1876.0,2652.0,548.0,1381.0,189.0,5946.0,2800.0,,482.0,388.0,773.0,21010.0,19.6,1073.0,0.94,1.0,0.94,2936.0,56.2,52.0,0.8,0.92,0.87,53.7,9.5,9.2,0.3,,31.2,,7.9,7.5,1.05,47.2,11.5,2.6,2.5,0.1,9.0,6.3,,12.6,12.5,1.01,6.6,35.1,18.8,35.6,18.6,24.8,6.8,2088.0,1680.0,408.0,81.4,86.1,84.3,71.8
Albuquerque NM,4601.0,37608.0,,6241.0,4738.0,2077.0,3247.0,578.0,1442.0,240.0,6309.0,2370.0,,543.0,360.0,1528.0,17125.0,14.3,1199.0,,0.73,1.06,2422.0,40.4,,0.66,0.66,1.0,39.1,9.5,5.3,4.2,29.6,30.9,15.4,4.7,7.7,0.61,34.4,8.4,2.3,1.4,0.9,,,18.4,6.4,10.6,0.6,5.5,27.1,15.4,34.8,16.4,20.1,,2075.0,1696.0,379.0,,91.4,83.5,74.6
Alexandria LA,1695.0,51216.0,25445.0,6649.0,9263.0,4322.0,1776.0,1477.0,2053.0,231.0,8401.0,3134.0,,721.0,394.0,2518.0,22494.0,,,1.01,1.18,0.86,3164.0,62.4,51.0,0.86,1.02,0.85,63.3,9.4,8.1,1.3,53.9,45.4,20.3,7.2,8.6,0.84,53.8,13.3,2.5,2.3,0.2,10.8,8.2,31.8,13.8,14.9,0.93,14.7,36.4,16.3,27.1,13.2,27.2,7.2,2922.0,2352.0,570.0,87.3,91.4,86.0,81.2
Allentown PA,6700.0,47157.0,26244.0,7153.0,7737.0,1857.0,1935.0,761.0,1098.0,371.0,9720.0,4133.0,,908.0,536.0,2171.0,22567.0,21.1,1071.0,1.01,1.08,0.94,,72.3,57.0,,1.18,0.96,57.7,14.4,7.0,7.3,43.4,60.7,24.1,10.1,9.2,1.09,50.4,12.3,3.5,1.9,1.6,8.8,11.4,36.4,18.7,14.2,1.32,5.6,29.9,,30.0,10.3,42.5,,2844.0,2557.0,287.0,87.7,91.5,85.8,82.7
Altoona PA,1666.0,41063.0,21148.0,7010.0,7160.0,2241.0,1357.0,897.0,1119.0,132.0,,3120.0,1594.0,587.0,335.0,2246.0,18519.0,18.2,1019.0,0.83,0.93,0.9,3153.0,57.5,55.0,0.86,0.94,0.92,49.8,10.6,7.5,3.1,39.2,49.9,20.1,6.7,9.1,0.74,43.7,10.7,2.6,2.0,0.6,8.1,9.4,27.4,10.8,14.2,0.76,7.3,33.3,20.1,,8.9,26.4,7.0,,2110.0,301.0,84.5,88.7,79.1,81.3
Amarillo TX,2445.0,42301.0,21275.0,7206.0,5402.0,,3904.0,272.0,1685.0,334.0,7738.0,,1915.0,827.0,468.0,1941.0,18898.0,16.3,1162.0,0.85,0.83,1.02,2696.0,,53.0,0.74,0.82,0.89,44.6,9.6,9.1,,34.9,32.1,17.6,6.5,6.9,0.94,40.4,9.1,2.3,2.2,0.1,6.8,5.9,23.8,11.1,10.9,1.02,7.8,19.6,10.7,56.1,21.3,17.5,,2495.0,2047.0,448.0,85.7,94.4,80.5,74.8
